cellid,x,y,z,nonzero_voxels,vth,order_used,n_coeffs,delta_final,t_read,t_moments,t_transform
57792,-2712500.0,0.0,537500.0,196276,249703.1867528172,10,220,0.04844064186105158,0.05678341700695455,0.008373917007702403,0.6382005829946138
3648,-6312500.0,0.0,-1712500.0,185348,238193.43975935693,4,20,0.014180017310903213,0.06913787500525359,0.00653208298899699,0.05451679199177306
56000,-2512500.0,0.0,462500.0,198716,254238.3064336128,10,220,0.04985407426656111,0.05805750000581611,0.013932999994722195,0.6596753749909112
3040,-6512500.0,0.0,-1737500.0,184725,238182.23570166284,4,20,0.014091953340748063,0.05490287499560509,0.01125316700199619,0.06266770799993537
640,-6512500.0,0.0,-1837500.0,185100,238194.47820834184,4,20,0.014149023687377115,0.04902412500814535,0.009918250012560748,0.057911084004445
5440,-6512500.0,0.0,-1637500.0,183759,238133.06628547944,4,20,0.014100627885958113,0.06977262499276549,0.0071522500074934214,0.057911167008569464
1248,-6312500.0,0.0,-1812500.0,185604,238216.5259130667,4,20,0.014259973128675475,0.052215999996406026,0.007108208010322414,0.06057608299306594
64256,-6112500.0,0.0,812500.0,191631,241522.87756170225,4,20,0.038900968887980315,0.05891808299929835,0.006220916999154724,0.04789770900970325
53600,-2512500.0,0.0,362500.0,212224,262611.0373880879,12,364,0.04560667554254338,0.06373570900177583,0.00586345799092669,1.1044082090083975
61856,-6112500.0,0.0,712500.0,193984,244160.47599511314,5,35,0.04606399051848254,0.06830716600234155,0.006177458999445662,0.09286725000129081
57760,-3512500.0,0.0,537500.0,195956,249449.13040376685,10,220,0.04857408819322871,0.06230137500097044,0.013638707998325117,0.7000603339984082
59456,-6112500.0,0.0,612500.0,195764,247706.0011556915,9,165,0.04358747180010999,0.07313683399115689,0.009210042000631802,0.47935337500530295
55360,-3512500.0,0.0,437500.0,201216,253220.34128591308,11,286,0.04426553052302074,0.05345733399735764,0.006150375003926456,0.8679757500067353
7200,7487500.0,0.0,-1587500.0,183275,238056.52796121305,4,20,0.013870073172868033,0.06281833299726713,0.006908208000822924,0.05734408299031202
4800,7487500.0,0.0,-1687500.0,183588,238115.7501609471,4,20,0.013799661394682375,0.053920749996905215,0.00635058298939839,0.058882583005470224
2400,7487500.0,0.0,-1787500.0,184662,238146.79263424804,4,20,0.013883402321599925,0.05790316600177903,0.0060036250069970265,0.059028749994467944
1792,7287500.0,0.0,-1812500.0,184347,238145.94830488774,4,20,0.013911744230635723,0.05582591700658668,0.006007041010889225,0.05807545800053049
6592,7287500.0,0.0,-1612500.0,182931,238075.38915170246,4,20,0.013852669264722547,0.053571165990433656,0.0061453329981304705,0.05852895800489932
4192,7287500.0,0.0,-1712500.0,184032,238130.0372959538,4,20,0.013812023719824873,0.05770895800378639,0.006292958001722582,0.0713728330010781
47104,87500.0,0.0,87500.0,305152,256032.26434573246,14,560,0.04408530562484358,0.10026912498869933,0.00693116600450594,1.6498430829960853
